signatory,constituency_name,constituency_gss,mp_name,mp_party
St.Albans Friends of the Earth,St Albans,E14001507,Daisy Cooper,Liberal Democrats
Sustainable Witham Friary,Frome and East Somerset,E14001241,Anna Sabine,Liberal Democrats
Carey Baptist Church (Bronze EcoChurch),Hemel Hempstead,E14001278,David Taylor,Labour Party
Bracknell Climate Action Group,Bracknell,E14001117,Peter Swallow,Labour Party
Transition Town Holywell & District,Clwyd East,W07000094,Becky Gittins,Labour Party
Climate Action Ilkley,Keighley and Ilkley,E14001308,Robbie Moore,Conservative Party
Sustainable Brampton,Carlisle,E14001152,Julie Minns,Labour Party
Fairtrade Lancashire,Chorley,E14001170,Lindsay Hoyle,Speaker of the House of Commons
Transition Town Kingston,Kingston and Surbiton,E14001312,Edward Davey,Liberal Democrats
Transition Town Kingston,Richmond Park,E14001445,Sarah Olney,Liberal Democrats
Lympstone Parish Church,Exmouth and Exeter East,E14001232,David Reed,Conservative Party
Cycle Hayling,Havant,E14001275,Alan Mak,Conservative Party
Gosport Fairtrade Action,Gosport,E14001252,Caroline Dinenage,Conservative Party
Greenpeace,North Somerset,E14001399,Sadik Al-Hassan,Labour Party
Eco Show and Tell,Chipping Barnet,E14001169,Dan Tomlinson,Labour Party
Crynwyr Tyddewi,Mid and South Pembrokeshire,W07000100,Henry Tufnell,Labour Party
Creation Matters! Isle of Wight Churches,Isle of Wight West,E14001304,Richard Quigley,Labour Party
Creation Matters! Isle of Wight Churches,Isle of Wight East,E14001303,Joe Robertson,Conservative Party
SAFE Stourvale Action For Environment,Stratford-on-Avon,E14001526,Manuela Perteghella,Liberal Democrats
Nottinghamshire Wildlife Trust,Nottingham North and Kimberley,E14001411,Alex Norris,Labour Co-operative
Highgate Neighbourhood Forum,Hampstead and Highgate,E14001265,Tulip Siddiq,Labour Party
Birchfield Neighbourhood Forum,Birmingham Perry Barr,E14001098,Ayoub Khan,independent politician
St Edmund Livesimply Group,Godalming and Ash,E14001249,Jeremy Hunt,Conservative Party
Greenstead Growers,Colchester,E14001176,Pam Cox,Labour Party
Plastic Free Thornbury,Thornbury and Yate,E14001545,Claire Young,Liberal Democrats
Horniman museum,Lewisham West and East Dulwich,E14001333,Ellie Reeves,Labour Party
Rose Hill and Iffley Low Carbon,Oxford East,E14001419,Anneliese Dodds,Labour Co-operative
Sustainable Sawbridgeworth,Hertford and Stortford,E14001283,Josh Dean,Labour Party
Shipley Town Council,Shipley,E14001472,Anna Dixon,Labour Party
Portsmouth Ecumenical Christian Climate Action Group,Portsmouth North,E14001431,Amanda Martin,Labour Party
Portsmouth Ecumenical Christian Climate Action Group,Portsmouth South,E14001432,Stephen Morgan,Labour Party
Green Synergy,Lincoln,E14001336,Hamish Falconer,Labour Party
"People & Planet, St. Stephen's Church",Ealing North,E14001208,James Murray,Labour Co-operative
Nothing But Footprints,Banbury,E14001072,Sean Woodcock,Labour Party
Christ Church EcoChurch Group,Lancaster and Wyre,E14001318,Cat Smith,Labour Party
Dane Valley Climate Action Group,Staffordshire Moorlands,E14001514,Karen Bradley,Conservative Party
Holme Valley Climate Action Partnership,Colne Valley,E14001177,Paul Davies,Labour Party
Wivelsfield Eco Church,Lewes,E14001330,James MacCleary,Liberal Democrats
Ryedale Environment Group,Thirsk and Malton,E14001544,Kevin Hollinrake,Conservative Party
Ryedale Environment Group,Scarborough and Whitby,E14001461,Alison Hume,Labour Party
Project Purple (Hovingham),Thirsk and Malton,E14001544,Kevin Hollinrake,Conservative Party
Sustainable Sherston,South Cotswolds,E14001482,Roz Savage,Liberal Democrats
Christ church eco group,DUPLICATE!,E14001206,Alex Mayer,Labour Party
Sustainable Devizes,Melksham and Devizes,E14001356,Brian Mathew,Liberal Democrats
Brampton 2 Zero CIC,Carlisle,E14001152,Julie Minns,Labour Party
Transition Town Milton Keynes,Milton Keynes North,E14001370,Chris Curtis,Labour Party
Transition Town Milton Keynes,Milton Keynes Central,E14001369,Emily Darlington,Labour Party
Westminster Churches Net Zero Forum,Cities of London and Westminster,E14001172,Rachel Blake,Labour Co-operative
Saline Environment Group,Dunfermline and Dollar,S14000076,Graeme Downie,Labour Party
Allotments Stockport,Stockport,E14001517,Navendu Mishra,Labour Party
Wandsworth Climate Cafes,Battersea,E14001081,Marsha de Cordova,Labour Party
"The Network, Lincoln",Lincoln,E14001336,Hamish Falconer,Labour Party
Friends of West Hunsbury Parks,South Northamptonshire,E14001490,Sarah Bool,Conservative Party
Extinction Rebellion,Lewes,E14001330,James MacCleary,Liberal Democrats
Stowmarket Eco Future Group,Bury St Edmunds and Stowmarket,E14001146,Peter Prinsley,Labour Party
Wiltshire Wildlife Community Energy,Melksham and Devizes,E14001356,Brian Mathew,Liberal Democrats
Wiltshire Wildlife Community Energy,East Wiltshire,E14001217,Danny Kruger,Conservative Party
Wiltshire Wildlife Community Energy,South West Wiltshire,E14001498,Andrew Murrison,Conservative Party
"The Eco Church Team, St. George's Church",Stroud,E14001529,Simon Opher,Labour Party
Shipley Climate Change Citizen's  Jury,Shipley,E14001472,Anna Dixon,Labour Party
